,t1,t2,t3,t4,t5,t6,t7,t8,t9
78,0.08919011,0.051458694,0.04235312,0.28524083,0.19520353,0.038954053,0.042046238,0.21487214,0.040681284
79,0.09917284,0.09176116,0.059073273,0.06976273,0.061517976,0.07136646,0.06623315,0.4010207,0.08009167
80,0.16324005,0.02733237,0.091083065,0.12575863,0.072081745,0.067650065,0.08178045,0.0332777,0.33779597
81,0.32426253,0.029863527,0.06577402,0.23263112,0.16193551,0.037294533,0.028641777,0.032091223,0.08750579
82,0.08770733,0.023313219,0.4456483,0.060310677,0.020347388,0.05683874,0.048858855,0.18955225,0.06742327
83,0.035708327,0.25068066,0.25706616,0.032694075,0.10449104,0.08652597,0.12855038,0.046506282,0.05777715
84,0.086098395,0.0590461,0.047440875,0.029613087,0.3545838,0.068482235,0.054256707,0.07425472,0.22622411
85,0.06039265,0.23959564,0.08864626,0.0706022,0.086154096,0.16585098,0.054508235,0.1959705,0.038279455
86,0.15896137,0.06959619,0.054065358,0.0523403,0.052534707,0.1078925,0.16381559,0.054530133,0.28626385
87,0.027640777,0.07711703,0.21812612,0.0650386,0.24341324,0.026599713,0.027891705,0.13514829,0.17902453
88,0.096901804,0.038170442,0.04013114,0.06606027,0.25403395,0.09222092,0.05061808,0.31803694,0.04382646
89,0.025456933,0.032057777,0.21661086,0.03834379,0.02680293,0.033200487,0.051331814,0.12926425,0.44693115
90,0.032074194,0.034270648,0.07719287,0.022677096,0.024891881,0.27240568,0.39169842,0.115056686,0.029732494
91,0.03429834,0.042346455,0.21074726,0.32951438,0.046304565,0.015253484,0.11709044,0.18070385,0.023741204
92,0.10492198,0.03544509,0.2739924,0.026577435,0.0249888,0.044699807,0.102404624,0.32412097,0.0628489
93,0.035387583,0.09343005,0.20667972,0.03554847,0.16534598,0.10298372,0.05402886,0.0435518,0.26304382
94,0.38232464,0.054203823,0.14659075,0.21416211,0.032296922,0.026623229,0.027773302,0.07370323,0.042321973
95,0.19361344,0.08775532,0.10497366,0.093605384,0.084116235,0.09220776,0.15763095,0.08863451,0.097462736
96,0.1683861,0.046415556,0.2574499,0.02715428,0.055818472,0.08040485,0.036475576,0.17618875,0.15170653
97,0.040286466,0.052783627,0.04670058,0.07002726,0.1970259,0.2908459,0.21670787,0.039305847,0.04631656
98,0.06963413,0.25620732,0.07908874,0.03191516,0.23352215,0.1685135,0.050214175,0.07928666,0.031618178
99,0.13832723,0.04281583,0.062290173,0.17269337,0.020204194,0.15473098,0.20078203,0.064133115,0.14402308
100,0.03930416,0.040202007,0.15554002,0.05458804,0.035909913,0.3349588,0.28194988,0.028099794,0.029447334
101,0.16054548,0.19162571,0.18985505,0.040589314,0.088593066,0.16384219,0.08675478,0.027271349,0.050923076
102,0.060778107,0.05670447,0.35636738,0.134929,0.079396784,0.011956516,0.018482123,0.20917428,0.07221136
103,0.06035933,0.03556473,0.04702665,0.11726086,0.13474521,0.1640711,0.29111713,0.11784573,0.032009304
104,0.10714462,0.16015214,0.11487054,0.23596753,0.052290566,0.082240276,0.03890614,0.16359264,0.044835575
105,0.032584567,0.031426672,0.030162895,0.27723953,0.042280417,0.026335668,0.111779064,0.22550839,0.22268282
106,0.16859858,0.061985645,0.09454839,0.054360803,0.2375599,0.056833416,0.05719642,0.15491168,0.114005156
107,0.12826394,0.043379977,0.059849966,0.037696768,0.22865081,0.37733907,0.04873128,0.031998236,0.044089936
108,0.24679206,0.06986411,0.051405437,0.05218849,0.20304911,0.036266617,0.25919244,0.052150346,0.02909141
109,0.06791871,0.04664861,0.054957207,0.09933792,0.07089026,0.19130091,0.3583618,0.056169815,0.054414716
110,0.09928968,0.044090487,0.15119913,0.059142724,0.035372145,0.13449255,0.3002268,0.092134595,0.08405185
111,0.1764293,0.026946874,0.27376238,0.2558056,0.053972762,0.07202576,0.06495517,0.048971254,0.02713085
112,0.07028172,0.056774814,0.05749276,0.23398088,0.09468493,0.13816276,0.12106634,0.08767982,0.13987596
113,0.11490397,0.025466282,0.22047728,0.15861343,0.109829985,0.09785019,0.14865568,0.03245021,0.09175295
114,0.17666467,0.032274067,0.05630108,0.12316006,0.1774138,0.081475,0.05682707,0.23542142,0.060462836
115,0.120564654,0.1250996,0.042186588,0.16214941,0.16131409,0.027708251,0.028759992,0.24920876,0.083008625
116,0.078820646,0.023936408,0.070907384,0.32067272,0.043128476,0.05496909,0.02870337,0.25448275,0.12437917
117,0.08267268,0.116285354,0.047819164,0.036746424,0.03253625,0.31662622,0.09233287,0.03830127,0.23667979
118,0.024933951,0.038990363,0.26423335,0.11014895,0.13919553,0.09460906,0.047366753,0.08957481,0.19094723
119,0.09246661,0.2629572,0.035834298,0.13835467,0.13714138,0.059110582,0.06994079,0.116721384,0.08747312
120,0.06518355,0.16385345,0.17229088,0.1453745,0.0399057,0.08915515,0.23298992,0.07224249,0.019004354
