Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,0.31,symmetric,0.4452602446753575
100% Corpus,6,0.61,0.01,0.44943498480332655
100% Corpus,6,0.61,0.31,0.4766238175892414
100% Corpus,6,0.61,0.61,0.47192340839632524
100% Corpus,6,0.61,0.9099999999999999,0.4782867600570577
100% Corpus,6,0.61,symmetric,0.4605749299663286
100% Corpus,6,0.9099999999999999,0.01,0.4534032132211747
100% Corpus,6,0.9099999999999999,0.31,0.47331292105530975
100% Corpus,6,0.9099999999999999,0.61,0.46612447996040024
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.479952889826823
100% Corpus,6,0.9099999999999999,symmetric,0.4498389958751261
100% Corpus,6,symmetric,0.01,0.4359347811975492
100% Corpus,6,symmetric,0.31,0.46502357515629006
100% Corpus,6,symmetric,0.61,0.4514428573548543
100% Corpus,6,symmetric,0.9099999999999999,0.4555469751978172
100% Corpus,6,symmetric,symmetric,0.45803020240293435
100% Corpus,6,asymmetric,0.01,0.4305198345319241
100% Corpus,6,asymmetric,0.31,0.4469480205485579
100% Corpus,6,asymmetric,0.61,0.4986638786059862
100% Corpus,6,asymmetric,0.9099999999999999,0.48280636906697194
100% Corpus,6,asymmetric,symmetric,0.43942433305792133
100% Corpus,7,0.01,0.01,0.4275393755901216
100% Corpus,7,0.01,0.31,0.41448185346404426
100% Corpus,7,0.01,0.61,0.4159414216233496
100% Corpus,7,0.01,0.9099999999999999,0.46383596607873173
100% Corpus,7,0.01,symmetric,0.4068149941397741
100% Corpus,7,0.31,0.01,0.44726185774586164
100% Corpus,7,0.31,0.31,0.43524428237852736
100% Corpus,7,0.31,0.61,0.4505228449769617
100% Corpus,7,0.31,0.9099999999999999,0.41561777519947507
100% Corpus,7,0.31,symmetric,0.43861531466704395
100% Corpus,7,0.61,0.01,0.4589508983444845
100% Corpus,7,0.61,0.31,0.4809946743212854
100% Corpus,7,0.61,0.61,0.47943264939290436
100% Corpus,7,0.61,0.9099999999999999,0.47885701592339264
100% Corpus,7,0.61,symmetric,0.46230166818350193
100% Corpus,7,0.9099999999999999,0.01,0.4471142840491349
100% Corpus,7,0.9099999999999999,0.31,0.4826544109990471
100% Corpus,7,0.9099999999999999,0.61,0.48819024119283366
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.47799644957291154
100% Corpus,7,0.9099999999999999,symmetric,0.4544647084476439
