,t1,t2,t3,t4,t5,t6,t7,t8,t9
40,0.12680642,0.16112864,0.02708629,0.1493119,0.021792313,0.05176061,0.09098557,0.26967895,0.10144929
41,0.03434762,0.049688317,0.2444628,0.22224866,0.039764233,0.08301421,0.21662328,0.068770394,0.041080512
42,0.105842374,0.09103616,0.109527834,0.058861826,0.096967265,0.02163769,0.18932076,0.15205096,0.17475513
43,0.053810384,0.09299764,0.08409003,0.041711576,0.5170687,0.056369863,0.054748747,0.024423894,0.074779116
44,0.10486567,0.0827828,0.046378974,0.107012175,0.04206676,0.35462818,0.08719573,0.0635054,0.11156431
45,0.30359894,0.040693503,0.102685645,0.026455589,0.040323984,0.34995782,0.033337027,0.032324567,0.07062292
46,0.063451305,0.22855785,0.032061625,0.053995308,0.02535476,0.069225825,0.1700387,0.12818141,0.22913325
47,0.2364173,0.12902457,0.043030087,0.04578734,0.10432812,0.24360391,0.041270472,0.118956044,0.037582163
48,0.40914968,0.11001156,0.17534998,0.02899175,0.048427943,0.032730974,0.060146395,0.077888384,0.057303295
49,0.042747073,0.046054207,0.20224051,0.04384891,0.04594718,0.45415872,0.04889953,0.04311591,0.07298795
50,0.037276644,0.04314037,0.12619796,0.03291055,0.34835044,0.15761192,0.034515925,0.04348034,0.17651588
51,0.024026176,0.37995836,0.077702425,0.033437237,0.06616943,0.08806607,0.051771276,0.10118308,0.17768599
52,0.050651606,0.0944699,0.16044883,0.2632778,0.0678457,0.15060204,0.07900002,0.07887004,0.05483407
53,0.03513165,0.28344274,0.03680108,0.049515694,0.26269943,0.040378075,0.06925388,0.12852398,0.09425348
54,0.35621405,0.033769146,0.051339705,0.030064465,0.02620446,0.26073462,0.027266439,0.108397916,0.106009215
55,0.13909511,0.22975008,0.040839627,0.09147395,0.034362886,0.03266727,0.08776044,0.03474546,0.30930513
56,0.04079292,0.29399702,0.13089165,0.06631854,0.11981127,0.11480588,0.04101614,0.055205144,0.13716148
57,0.052380472,0.04989488,0.4685506,0.05469723,0.06563656,0.07488343,0.06830658,0.044127956,0.121522315
58,0.08677588,0.058163423,0.2947704,0.18343014,0.06610319,0.051738717,0.15892442,0.04866138,0.05143248
59,0.040692955,0.048630692,0.17409545,0.32241488,0.06744569,0.03806305,0.12250946,0.1370536,0.049094282
60,0.029006429,0.057022166,0.2732607,0.085811,0.10129485,0.027879518,0.3246283,0.027137015,0.07395997
61,0.024853902,0.09681819,0.07780066,0.426429,0.09214428,0.0729765,0.053454988,0.039410952,0.11611156
62,0.060745753,0.038510494,0.18372194,0.026323989,0.3071306,0.11248081,0.05197159,0.046386838,0.17272799
63,0.055522222,0.26600122,0.05068607,0.16499633,0.05110846,0.06317133,0.0957275,0.21460769,0.038179133
64,0.04408065,0.1853211,0.15707119,0.09196778,0.10114793,0.04064383,0.26796052,0.0662577,0.045549296
65,0.029527865,0.12366708,0.20263958,0.11252387,0.28408307,0.06533,0.03440491,0.044975605,0.102848016
66,0.059167314,0.023693291,0.01786248,0.06851039,0.47985363,0.054209493,0.074023604,0.18751536,0.03516439
67,0.17051095,0.058320638,0.07973316,0.035300698,0.035869554,0.26858637,0.052887343,0.23390983,0.06488143
68,0.24324386,0.08132718,0.06289411,0.0735384,0.1273344,0.14189966,0.1348798,0.07735684,0.057525735
69,0.103922844,0.07615915,0.11358829,0.026333839,0.02527252,0.09713917,0.0488102,0.1315169,0.37725714
70,0.033185884,0.29283035,0.09030212,0.028804686,0.040516898,0.032391414,0.14880723,0.031869918,0.3012915
71,0.043241244,0.04657532,0.45112062,0.0922107,0.10252526,0.044650223,0.04292066,0.06293636,0.113819614
72,0.028776225,0.18012612,0.04992937,0.09596153,0.019708421,0.30376792,0.117006205,0.072596766,0.13212743
73,0.077658586,0.26997688,0.08753224,0.04558389,0.03448151,0.05846617,0.08262071,0.2939154,0.04976461
74,0.10924289,0.07715731,0.08185421,0.114208505,0.042133138,0.15289477,0.14662647,0.21297121,0.062911496
75,0.22811648,0.10812985,0.03953867,0.04230217,0.04775757,0.04082577,0.053205863,0.15749203,0.28263164
76,0.12872761,0.10206491,0.10839329,0.07361733,0.0740189,0.06092962,0.12181958,0.15891825,0.17151056
77,0.03673624,0.044892073,0.10277182,0.25721484,0.050362296,0.24595375,0.033594996,0.08787892,0.140595
78,0.15467115,0.049849696,0.046130314,0.0771013,0.03135434,0.075651325,0.028656825,0.26920813,0.26737693
79,0.175297,0.32699603,0.13925906,0.05269239,0.035150137,0.025095174,0.11320591,0.07131835,0.06098596
